country,iso3,year,events,affected,deaths,damage_usd_nominal,damage_usd_2024
Cambodia,KHM,2000,1,3448053,347,160000000.0,291464718
Cambodia,KHM,2001,2,1969182,56,15000000.0,26573799
Cambodia,KHM,2002,2,2120000,29,38100000.0,66443630
Cambodia,KHM,2004,1,0,0,0.0,0
Cambodia,KHM,2005,2,600000,16,0.0,0
Cambodia,KHM,2006,2,38000,5,0.0,0
Cambodia,KHM,2007,1,19000,2,1000000.0,1512903
Cambodia,KHM,2009,2,178091,19,0.0,0
Cambodia,KHM,2010,1,0,8,70000000.0,100700164
Cambodia,KHM,2011,1,1640023,247,521000000.0,726560507
Cambodia,KHM,2012,1,71500,14,0.0,0
Cambodia,KHM,2013,1,1500000,200,500000000.0,673276182
Cambodia,KHM,2014,1,530450,45,2000000.0,2650114
Cambodia,KHM,2015,2,28300,0,0.0,0
Cambodia,KHM,2016,1,2500000,0,0.0,0
Cambodia,KHM,2018,1,5817,0,0.0,0
Cambodia,KHM,2019,1,435000,12,0.0,0
Cambodia,KHM,2020,2,759360,44,100000000.0,121203771
Cambodia,KHM,2021,4,13726,1,0.0,0
Cambodia,KHM,2022,2,167770,31,0.0,0
Cambodia,KHM,2023,1,14100,0,0.0,0
Cambodia,KHM,2024,1,0,0,0.0,0
Cambodia,KHM,2025,1,67000,0,0.0,0
Indonesia,IDN,2000,13,802730,539,240600000.0,438290071
Indonesia,IDN,2001,9,122116,587,20000000.0,35431732
Indonesia,IDN,2002,14,608620,273,351600000.0,613164836
Indonesia,IDN,2003,16,688005,534,4961000.0,8459583
Indonesia,IDN,2004,17,739012,165946,4583100000.0,7611405965
Indonesia,IDN,2005,9,152797,1238,5000000.0,8031293
Indonesia,IDN,2006,18,3937403,7421,3314243000.0,5157164323
Indonesia,IDN,2007,16,1224945,576,1671000000.0,2528060452
Indonesia,IDN,2008,16,487497,141,1733000.0,2524926
Indonesia,IDN,2009,12,2877208,1485,2381430000.0,3482048254
Indonesia,IDN,2010,12,225272,1294,78000000.0,112208754
Indonesia,IDN,2011,12,28336,129,5850000.0,8158117
Indonesia,IDN,2012,13,52075,107,1000000.0,1366277
Indonesia,IDN,2013,16,680194,173,3136000000.0,4222788215
Indonesia,IDN,2014,10,542287,243,1114000000.0,1476113418
Indonesia,IDN,2015,12,489380,84,1235000000.0,1634506445
Indonesia,IDN,2016,15,482609,271,233000000.0,304530514
Indonesia,IDN,2017,12,534836,99,34000000.0,43511088
Indonesia,IDN,2018,15,2925625,5310,2604000000.0,3252983303
Indonesia,IDN,2019,19,1221941,466,1318000000.0,1617171775
Indonesia,IDN,2020,29,909980,210,29300000.0,35512705
Indonesia,IDN,2021,28,1579212,511,928700000.0,1075112510
Indonesia,IDN,2022,20,2607555,404,136000000.0,145774770
Indonesia,IDN,2023,15,18911788,96,0.0,0
Indonesia,IDN,2024,20,802390,290,90000000.0,90000000
Indonesia,IDN,2025,20,3355637,1273,4000000000.0,0
Indonesia,IDN,2026,6,23756,109,20000000.0,0
Lao PDR,LAO,2000,1,450000,15,1000000.0,1821654
Lao PDR,LAO,2001,1,453000,0,0.0,0
Lao PDR,LAO,2002,1,150000,2,0.0,0
Lao PDR,LAO,2008,1,204190,6,0.0,0
Lao PDR,LAO,2009,2,128887,26,100000000.0,146216696
Lao PDR,LAO,2011,2,467000,48,0.0,0
Lao PDR,LAO,2013,2,574253,23,121000000.0,162932836
Lao PDR,LAO,2014,1,750,0,0.0,0
Lao PDR,LAO,2015,2,47940,4,10000000.0,13234870
Lao PDR,LAO,2016,1,26328,5,50000.0,65350
Lao PDR,LAO,2017,1,0,0,0.0,0
Lao PDR,LAO,2018,3,748245,136,225000000.0,281075746
Lao PDR,LAO,2019,2,507500,19,0.0,0
Lao PDR,LAO,2020,2,70764,2,0.0,0
Lao PDR,LAO,2021,2,26000,0,120000.0,138918
Lao PDR,LAO,2022,1,42552,1,0.0,0
Lao PDR,LAO,2023,1,110129,7,7719000.0,7946673
Lao PDR,LAO,2024,4,312289,13,307261000.0,307261000
Lao PDR,LAO,2025,2,182134,15,13060000.0,0
Malaysia,MYS,2000,2,8500,12,1000000.0,1821654
Malaysia,MYS,2001,4,33200,11,0.0,0
Malaysia,MYS,2002,2,155,12,0.0,0
Malaysia,MYS,2003,3,18800,8,0.0,0
Malaysia,MYS,2004,6,77101,97,510000000.0,846985019
Malaysia,MYS,2005,3,30600,13,0.0,0
Malaysia,MYS,2006,4,106518,6,22000000.0,34233342
Malaysia,MYS,2007,2,166533,46,968000000.0,1464489836
Malaysia,MYS,2008,2,8000,0,0.0,0
Malaysia,MYS,2009,2,10875,0,0.0,0
Malaysia,MYS,2011,2,20006,18,0.0,0
Malaysia,MYS,2013,1,75000,4,2000000.0,2693105
Malaysia,MYS,2014,2,2430000,17,284000000.0,376316167
Malaysia,MYS,2015,2,3010,25,2000.0,2647
Malaysia,MYS,2016,4,31841,0,132000000.0,172523725
Malaysia,MYS,2017,4,22407,9,0.0,0
Malaysia,MYS,2018,2,16900,2,0.0,0
Malaysia,MYS,2019,4,22477,2,0.0,0
Malaysia,MYS,2020,5,21883,0,6800000.0,8241856
Malaysia,MYS,2021,8,164641,79,1460000000.0,1690173645
Malaysia,MYS,2022,6,90719,50,240000.0,257250
Malaysia,MYS,2023,4,84187,6,0.0,0
Malaysia,MYS,2025,7,52314,21,0.0,0
Myanmar,MMR,2001,1,3750,51,0.0,0
Myanmar,MMR,2002,1,50000,21,0.0,0
Myanmar,MMR,2004,2,40700,307,500688000.0,831520069
Myanmar,MMR,2005,1,16,17,0.0,0
Myanmar,MMR,2006,2,70106,59,0.0,0
Myanmar,MMR,2007,4,166664,5,0.0,0
Myanmar,MMR,2008,1,2420000,138366,4000000000.0,5827873272
Myanmar,MMR,2009,1,1351,24,0.0,0
Myanmar,MMR,2010,3,406531,373,57000000.0,81998705
Myanmar,MMR,2011,2,57011,225,5300000.0,7391115
Myanmar,MMR,2012,2,86486,40,1170000.0,1598544
Myanmar,MMR,2013,2,73300,23,0.0,0
Myanmar,MMR,2014,2,40000,0,0.0,0
Myanmar,MMR,2015,6,1636903,213,119000000.0,157494953
Myanmar,MMR,2016,6,953350,97,16600000.0,21696165
Myanmar,MMR,2017,2,199520,3,0.0,0
Myanmar,MMR,2018,5,173095,67,0.0,0
Myanmar,MMR,2019,3,8075,128,0.0,0
Myanmar,MMR,2020,2,26554,174,0.0,0
Myanmar,MMR,2021,1,125000,0,0.0,0
Myanmar,MMR,2023,5,1276747,205,2240000000.0,2306069048
Myanmar,MMR,2024,3,1106940,510,222000000.0,222000000
Myanmar,MMR,2025,5,1522114,3846,11000000000.0,0
Philippines,PHL,2000,12,6424338,747,89758000.0,163508063
Philippines,PHL,2001,11,3624958,630,109641000.0,194238530
Philippines,PHL,2002,12,1211212,320,17543000.0,30593715
Philippines,PHL,2003,10,687749,350,42302000.0,72134102
Philippines,PHL,2004,12,3262978,1918,138867000.0,230624056
Philippines,PHL,2005,4,213057,39,2515000.0,4039740
Philippines,PHL,2006,20,8612817,2984,347281000.0,540390425
Philippines,PHL,2007,15,2010577,118,16555000.0,25046105
Philippines,PHL,2008,20,8459896,959,481202000.0,701096068
Philippines,PHL,2009,25,13352484,1307,962107000.0,1406761064
Philippines,PHL,2010,14,5457568,376,335087000.0,482047367
Philippines,PHL,2011,33,11722352,1933,730025000.0,1018056303
Philippines,PHL,2012,21,12528288,2385,1005611000.0,1373943343
Philippines,PHL,2013,14,25667133,7750,12422810000.0,16727964183
Philippines,PHL,2014,13,13274658,331,1063690000.0,1409449803
Philippines,PHL,2015,16,4019201,201,1965966000.0,2601930443
Philippines,PHL,2016,11,5534812,87,180074000.0,235356343
Philippines,PHL,2017,14,4869805,233,161213920.0,206311560
Philippines,PHL,2018,9,9614945,313,569712000.0,711698780
Philippines,PHL,2019,16,6798874,180,619171000.0,759716135
Philippines,PHL,2020,9,6116533,202,1113474000.0,1349572476
Philippines,PHL,2021,14,12785052,572,1050235000.0,1215807890
Philippines,PHL,2022,12,7928618,609,325471000.0,348863679
Philippines,PHL,2023,15,11286950,132,408156000.0,420194607
Philippines,PHL,2024,18,28665372,514,913110000.0,913110000
Philippines,PHL,2025,16,33245861,621,652000000.0,0
Philippines,PHL,2026,1,645612,7,5000000.0,0
Thailand,THA,2000,5,3365020,109,109056000.0,198662352
Thailand,THA,2001,6,465389,189,28500000.0,50490219
Thailand,THA,2002,6,8354124,190,40127000.0,69978571
Thailand,THA,2003,4,112700,9,26400000.0,45017736
Thailand,THA,2004,7,583167,8375,1175000000.0,1951387055
Thailand,THA,2005,6,822810,86,658246000.0,1057313257
Thailand,THA,2006,3,2557308,280,34940000.0,54368771
Thailand,THA,2007,5,183000,53,1500000.0,2269354
Thailand,THA,2008,6,11573157,39,27844000.0,40567826
Thailand,THA,2009,1,200000,15,0.0,0
Thailand,THA,2010,2,15453255,258,332000000.0,477606490
Thailand,THA,2011,4,11216126,896,40317000000.0,56224068998
Thailand,THA,2012,2,12235545,0,1200000.0,1639533
Thailand,THA,2013,3,3515254,84,579000000.0,779653819
Thailand,THA,2014,8,1150811,93,72000000.0,95404099
Thailand,THA,2015,2,1440,3,3300561000.0,4368249576
Thailand,THA,2016,4,808843,35,145000000.0,189514698
Thailand,THA,2017,6,3819058,150,1308400000.0,1674409043
Thailand,THA,2019,3,878885,26,0.0,0
Thailand,THA,2020,7,1196084,44,60000000.0,72722262
Thailand,THA,2021,6,958594,16,591000000.0,684173030
Thailand,THA,2022,11,1381745,21,13000000.0,13934353
Thailand,THA,2023,3,271323,6,0.0,0
Thailand,THA,2024,7,781568,165,1114000000.0,1114000000
Thailand,THA,2025,14,5808483,401,15600000000.0,0
Vietnam,VNM,2000,11,5039580,592,291035000.0,530165215
Vietnam,VNM,2001,7,1809090,392,171900000.0,304535742
Vietnam,VNM,2002,6,2733616,147,284200000.0,495624136
Vietnam,VNM,2003,4,421841,128,105000000.0,179047815
Vietnam,VNM,2004,6,535923,189,38000000.0,63108688
Vietnam,VNM,2005,10,870053,308,346370000.0,556359767
Vietnam,VNM,2006,11,3349410,579,1099000000.0,1710111054
Vietnam,VNM,2007,6,1647602,326,981000000.0,1484157571
Vietnam,VNM,2008,10,789153,411,673500000.0,981268162
Vietnam,VNM,2009,6,3717461,356,1065200000.0,1557500242
Vietnam,VNM,2010,7,1524433,221,704700000.0,1013762932
Vietnam,VNM,2011,5,1361647,138,219002000.0,305409221
Vietnam,VNM,2012,4,356512,72,372800000.0,509348126
Vietnam,VNM,2013,10,4124445,215,1552730000.0,2090832254
Vietnam,VNM,2014,3,48075,38,10700000.0,14178109
Vietnam,VNM,2015,5,1765215,52,6954218000.0,9203817118
Vietnam,VNM,2016,8,2423925,162,846437000.0,1106291394
Vietnam,VNM,2017,9,5133216,284,3162655000.0,4047369408
Vietnam,VNM,2018,7,283756,134,287200000.0,358777575
Vietnam,VNM,2019,8,833732,51,62000000.0,76073331
Vietnam,VNM,2020,11,2198070,310,1451992000.0,1759869057
Vietnam,VNM,2021,8,398343,35,26500000.0,30677809
Vietnam,VNM,2022,8,515165,60,66500000.0,71279575
Vietnam,VNM,2023,6,305153,30,0.0,0
Vietnam,VNM,2024,10,4033968,379,2040600000.0,2040600000
Vietnam,VNM,2025,14,3505378,258,1724251000.0,0
Vietnam,VNM,2026,1,26300,4,0.0,0
